id,c_date,campaign_name,category,campaign_id,impressions, mark_spent ,clicks,leads,orders,Conversion Rate, revenue ,Profit,CPC,CTR,,
1,1/1/21,facebook_tier1,social,349043,166468," $7,207.88 ",994,14,0,0.00%," $4,000 "," $(3,208)",,,,
2,1/1/21,facebOOK_tier2,social,348934,207839," $17,547.46 ",1890,44,2,4.55%," $16,201 "," $(1,346)",,,,
3,1/1/21,google_hot,search,89459845,25047," $5,185.79 ",374,9,0,0.00%," $9,234 "," $4,048 ",,,,
4,1/1/21,google_wide,search,127823,118467," $5,001.53 ",1073,20,1,5.00%," $2,471 "," $(2,531)",,,,
5,1/1/21,youtube_blogger,influencer,10934,213366," $24,980.47 ",2268,57,11,19.30%," $84,539 "," $59,559 ",,,,
6,1/1/21,instagram_tier1,social,9034945,517537," $9,121.12 ",1321,26,3,11.54%," $14,894 "," $5,773 ",,,,
7,1/1/21,instagram_tier2,social,983498,575537," $4,161.78 ",2246,92,0,0.00%," $1,796 "," $(2,366)",,,,
8,1/1/21,facebook_retargeting,social,4387490,6433," $1,124.52 ",120,2,0,0.00%," $4,534 "," $3,409 ",,,,
9,1/1/21,facebook_lal,social,544756,46538," $18,335.36 ",534,15,2,13.33%," $4,436 "," $(13,899)",,,,
10,1/1/21,instagram_blogger,influencer,374754,107654," $24,498.45 ",1701,53,7,13.21%," $42,080 "," $17,582 ",,,,
11,1/1/21,banner_partner,media,39889,21427704, $746.49 ,1780,3,0,0.00%, $-   , $(746),,,,
12,1/2/21,facebook_tier1,social,349043,444480," $17,109.60 ",2300,39,4,10.26%," $19,932 "," $2,822 ",,,,
13,1/2/21,facebOOK_tier2,social,348934,772353," $2,519.85 ",3707,9,0,0.00%, $-   ," $(2,520)",,,,
14,1/2/21,google_hot,search,89459845,38578," $11,541.76 ",818,16,2,12.50%," $20,558 "," $9,016 ",,,,
15,1/2/21,google_wide,search,127823,269304," $15,828.77 ",2809,34,3,8.82%," $11,011 "," $(4,818)",,,,
16,1/2/21,youtube_blogger,influencer,10934,461295," $34,716.26 ",3807,69,16,23.19%," $168,614 "," $133,898 ",,,,
17,1/2/21,instagram_tier1,social,9034945,646728," $28,268.12 ",2984,64,10,15.63%," $37,363 "," $9,095 ",,,,
18,1/2/21,instagram_tier2,social,983498,878155," $1,667.16 ",5774,15,0,0.00%, $-   ," $(1,667)",,,,
19,1/2/21,facebook_retargeting,social,4387490,9542, $155.36 ,252,0,0,0.00%, $-   , $(155),,,,
20,1/2/21,facebook_lal,social,544756,116730," $8,514.49 ",1209,5,0,0.00%," $1,116 "," $(7,398)",,,,
21,1/2/21,instagram_blogger,influencer,374754,300604," $15,168.27 ",2757,15,2,13.33%," $17,080 "," $1,912 ",,,,
22,1/2/21,banner_partner,media,39889,35759425," $49,124.89 ",4541,96,14,14.58%," $59,805 "," $10,680 ",,,,
23,1/3/21,facebook_tier1,social,349043,2640358," $60,794.80 ",6359,127,11,8.66%," $61,186 ", $391 ,,,,
24,1/3/21,facebOOK_tier2,social,348934,1138442," $64,268.08 ",11155,193,13,6.74%," $50,444 "," $(13,824)",,,,
25,1/3/21,google_hot,search,89459845,137521," $91,795.21 ",2241,68,18,26.47%," $124,186 "," $32,391 ",,,,
26,1/3/21,google_wide,search,127823,5186136," $44,388.29 ",6225,119,12,10.08%," $34,876 "," $(9,512)",,,,
27,1/3/21,youtube_blogger,influencer,10934,1163461," $162,221.57 ",14604,527,87,16.51%," $810,692 "," $648,470 ",,,,
28,1/3/21,instagram_tier1,social,9034945,1380555," $64,348.18 ",8503,148,13,8.78%," $100,690 "," $36,342 ",,,,
29,1/3/21,instagram_tier2,social,983498,2695605," $96,055.52 ",16920,631,33,5.23%," $105,229 "," $9,173 ",,,,
30,1/3/21,facebook_retargeting,social,4387490,29087," $4,306.35 ",910,21,4,19.05%," $19,811 "," $15,505 ",,,,
31,1/3/21,facebook_lal,social,544756,273011," $79,448.63 ",2876,76,7,9.21%," $4,570 "," $(74,879)",,,,
32,1/3/21,instagram_blogger,influencer,374754,603577," $220,298.02 ",8559,360,42,11.67%," $210,559 "," $(9,739)",,,,
33,1/3/21,banner_partner,media,39889,145827770," $24,954.34 ",14713,78,14,17.95%," $45,323 "," $20,369 ",,,,
34,1/4/21,facebook_tier1,social,349043,2968877," $154,002.88 ",9653,222,25,11.26%," $133,002 "," $(21,001)",,,,
35,1/4/21,facebOOK_tier2,social,348934,5175173," $132,702.11 ",11530,143,13,9.09%," $97,430 "," $(35,272)",,,,
36,1/4/21,google_hot,search,89459845,191673," $49,298.53 ",2974,54,7,12.96%," $66,266 "," $16,967 ",,,,
37,1/4/21,google_wide,search,127823,1434055," $55,306.70 ",10446,245,19,7.76%," $48,337 "," $(6,970)",,,,
38,1/4/21,youtube_blogger,influencer,10934,2067581," $166,793.87 ",17002,476,103,21.64%," $650,922 "," $484,128 ",,,,
39,1/4/21,instagram_tier1,social,9034945,1231812," $105,057.14 ",10683,268,30,11.19%," $196,231 "," $91,174 ",,,,
40,1/4/21,instagram_tier2,social,983498,2417474," $34,618.11 ",24017,357,10,2.80%," $21,661 "," $(12,957)",,,,
41,1/4/21,facebook_retargeting,social,4387490,34641, $716.57 ,963,3,1,33.33%," $4,937 "," $4,220 ",,,,
42,1/4/21,facebook_lal,social,544756,415816," $130,071.83 ",5511,78,13,16.67%," $6,654 "," $(123,418)",,,,
43,1/4/21,instagram_blogger,influencer,374754,1270923," $173,602.28 ",13432,245,44,17.96%," $212,816 "," $39,214 ",,,,
44,1/4/21,banner_partner,media,39889,42461790," $170,924.54 ",17202,379,64,16.89%," $210,606 "," $39,681 ",,,,
45,1/5/21,facebook_tier1,social,349043,3232555," $96,579.79 ",14321,161,15,9.32%," $73,960 "," $(22,620)",,,,
46,1/5/21,facebOOK_tier2,social,348934,2693756," $278,407.66 ",18082,316,49,15.51%," $222,848 "," $(55,560)",,,,
47,1/5/21,google_hot,search,89459845,280788," $104,108.49 ",4804,160,25,15.63%," $178,261 "," $74,153 ",,,,
48,1/5/21,google_wide,search,127823,9476008," $49,552.71 ",11808,115,12,10.43%," $48,070 "," $(1,483)",,,,
49,1/5/21,youtube_blogger,influencer,10934,1702931," $500,738.43 ",20256,710,122,17.18%," $1,366,868 "," $866,130 ",,,,
50,1/5/21,instagram_tier1,social,9034945,6272179," $253,079.75 ",14172,475,75,15.79%," $422,917 "," $169,837 ",,,,
51,1/5/21,instagram_tier2,social,983498,5785334," $13,227.67 ",24331,854,4,0.47%," $6,492 "," $(6,736)",,,,
